Category,Name,PerkId,Type,Status,Reuse,CurrentPlayback,Reference,BibleAnimationRow,Description,DefinitionFiles
Devices,Concussion Grenade,ConcussionGrenade,Combat,Needed,,ThrowGrenade,https://chatgpt.com/s/m_6a400ceec88c8191917b475a5abeeb8c,92,Deals 28 electrical DMG plus PER scaling in a 3m blast and knocks down for 3 seconds. Affects up to 5 targets. Consumes explosives.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/ConcussionGrenadeAbilityDefinition.cs
Devices,Cryo Sprayer,CryoSprayer,Combat,Needed,,CastOutAnimation,,,Deals 25 ice DMG plus PER scaling to hostile targets in a 6m x 5m cone and slows their movement for 30 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/CryoSprayerAbilityDefinition.cs
Devices,Deflector Shield,DeflectorShield,Combat,Needed,,CastOutAnimation,,,Grants one ally 100 temporary HP plus 12% of the target's maximum HP for 45 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/DeflectorShieldAbilityDefinition.cs
Devices,Disruption Pulse,DisruptionPulse,Combat,Needed,,ThrowGrenade,https://chatgpt.com/s/m_6a4011a0c1e881919338e80d284504bd,97,"Emits a 5m disruption pulse at a target point within 12m, dealing 18 electrical DMG plus PER scaling to enemies and reducing physical and Force ability Accuracy by 6% for 12 seconds. Consumes explosives.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/DisruptionPulseAbilityDefinition.cs
Devices,Emergency Bunker,EmergencyBunker,Combat,Needed,,CastOutAnimation,,,Deploys an 8m-radius shield bunker at the target location for 45 seconds. Allies inside gain 60 temporary HP plus 8% of each target's maximum HP and take 15% less physical and Force damage.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/EmergencyBunkerAbilityDefinition.cs
Devices,Flamethrower,Flamethrower,Combat,Needed,,CastOutAnimation,,,Deals 42 fire DMG plus PER scaling to hostile targets in a 6m x 5m cone and attempts to inflict Burn for 12 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/FlamethrowerAbilityDefinition.cs
Devices,Flash Grenade,FlashGrenade,Combat,Needed,,ThrowGrenade,https://chatgpt.com/s/m_6a400d4bfca8819183e54a057e874df2,93,"Attempts to inflict Flash, reducing physical and Force ability hit chance by 8% for 30 seconds in a 4m blast. Affects up to 5 targets. Consumes explosives.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/FlashGrenadeAbilityDefinition.cs
Devices,Frag Grenade,FragGrenade,Combat,Needed,,ThrowGrenade,https://chatgpt.com/s/m_6a400b5991b481918ca4b286177de545,91,Deals 48 fire DMG plus PER scaling to enemies in a 3m blast and attempts to inflict Bleed for 12 seconds. Consumes explosives.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/FragGrenadeAbilityDefinition.cs
Devices,Group Deflector,GroupDeflector,Combat,Needed,,CastOutAnimation,,,Allies within 5m gain 70 temporary HP plus 8% of each target's maximum HP for 30 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/GroupDeflectorAbilityDefinition.cs
Devices,Incendiary Field,IncendiaryField,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a4013a2d2688191aa52829d0d598e03,100,Deploys a visible 5m-radius fire field at the target location for 30 seconds. Enemies inside take 16 fire DMG plus PER scaling every 3 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/IncendiaryFieldAbilityDefinition.cs
Devices,Ion Grenade,IonGrenade,Combat,Needed,,ThrowGrenade,https://chatgpt.com/s/m_6a400de548c08191a2e52e433e30159e,94,Deals 34 electrical DMG plus PER scaling in a 3m blast. Deals 60% bonus damage to droids and inflicts Shock for 12 seconds. Consumes explosives.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/IonGrenadeAbilityDefinition.cs
Devices,Ion Lance,IonLance,Combat,Needed,,CastOutAnimation,,,"Fires a focused ion beam from a wrist projector in an 8m x 2.5m line, dealing 44 electrical DMG plus PER scaling to hostile targets in the line.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/IonLanceAbilityDefinition.cs
Devices,Killzone Beacon,KillzoneBeacon,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a40150693908191b2415f963e63031b,104,"Plants a visible 12m killzone sphere for 45 seconds. Every 3 seconds, all hostile targets inside are hit by one 16 physical DMG plus PER scaling pulse and one 16 electrical DMG plus PER scaling shock pulse.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/KillzoneBeaconAbilityDefinition.cs
Devices,Overload Barrage,OverloadBarrage,Combat,Needed,,CastOutAnimation,,,"Unleashes three attacks at your primary target's location: a 42 fire DMG 5m burst plus Burn for 45 seconds, a 48 fire DMG single-target hit plus 3-second Knockdown, and a 24 sonic DMG 5m burst that interrupts activation and reduces Accuracy by 10% for 45 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/OverloadBarrageAbilityDefinition.cs
Devices,Power Cell,PowerCell,Combat,Needed,,CastOutAnimation,,,Restores 18% of maximum STM to the selected ally and allies within 5m and increases physical and Force ability Accuracy by 6% for 30 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/PowerCellAbilityDefinition.cs
Devices,Rail Dart,RailDart,Combat,Needed,,CastOutAnimation,,,Fires a dart that deals 48 physical DMG plus PER scaling and attempts to inflict Bleed for 12 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/RailDartAbilityDefinition.cs
Devices,Remote Charge,RemoteCharge,Combat,Needed,,ThrowGrenade,https://chatgpt.com/s/m_6a40142040b88191a83f31accd0f22a5,101,Arms a visible charge at your target location that detonates after 3 seconds in a 5m-radius blast for 42 fire DMG plus PER scaling and inflicts Knockdown for 6 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/RemoteChargeAbilityDefinition.cs
Devices,Shock Beacon,ShockBeacon,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a4014c3a4888191b4342b40a181f3ec,103,"Plants a visible 5m shock sphere for 30 seconds. Every 3 seconds, one hostile target inside is hit for 14 electrical DMG plus PER scaling and suffers Shock.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/ShockBeaconAbilityDefinition.cs
Devices,Signal Jammer,SignalJammer,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a401463a6508191ace7b88bbf18e6de,102,Deploys a signal jammer for 45 seconds. Hostile targets within 5m suffer -6% physical and Force ability Accuracy and cannot benefit from Haste while inside.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/SignalJammerAbilityDefinition.cs
Devices,Sonic Burst,SonicBurst,Combat,Needed,,CastOutAnimation,,,"Deals 18 sonic DMG to hostile targets within 5m, interrupts activation, and reduces Accuracy by 10% for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Devices/SonicBurstAbilityDefinition.cs
Devices,Thermal Detonator,ThermalDetonator,Combat,Needed,,ThrowGrenade,https://chatgpt.com/s/m_6a4013144efc8191b0243d89d47fe085,98,Deals 60 fire DMG plus PER scaling in a 5m blast and inflicts Burn for 45 seconds. Consumes explosives.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/ThermalDetonatorAbilityDefinition.cs
Devices,Weapon Jam,WeaponJam,Combat,Needed,,CastOutAnimation,,,Reduce one target's physical and Force ability Accuracy by 6% for 18 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/WeaponJamAbilityDefinition.cs
Devices,Wrist Rocket,WristRocket,Combat,Needed,,CastOutAnimation,,,Deals 48 fire DMG plus PER scaling to one target and knocks down for 3 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Devices/WristRocketAbilityDefinition.cs
Espionage,Ghost Protocol,GhostProtocol,Capstone,Needed,,CastOutAnimation,,,"Reduces your enmity by 80%, enters stealth for up to 30 seconds, and causes your next back attack within 30 seconds to critically hit and inflict Exposed, reducing Defense by 20% for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Espionage/GhostProtocolAbilityDefinition.cs
Espionage,Razor Trap,RazorTrap,Combat,Needed,,LoopingGetMid,,,"Places a visible trap that arms after 3 seconds. When triggered, enemies within its 3m blast take 30 physical DMG plus PER scaling and Bleed for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Espionage/RazorTrapAbilityDefinition.cs
Espionage,Shadow Step,ShadowStep,Combat,Needed,,CastOutAnimation,,,"Dash behind one hostile target within 5m, remove negative movement-speed effects, and increase Evasion by 15% for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Espionage/ShadowStepAbilityDefinition.cs
Espionage,Shock Trap,ShockTrap,Combat,Needed,,LoopingGetMid,,,"Places a visible trap that arms after 3 seconds. When triggered, enemies within its 3m blast take 22 electrical DMG plus PER scaling and suffer Shock for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Espionage/ShockTrapAbilityDefinition.cs
Espionage,Stealth,Stealth,Toggle,Native,Use native action mode; no extra custom clip required,Native stealth,,,"Enter stealth, increasing Stealth by 20 while active. Drains 2 STM every 6 seconds, breaks on hostile action, and can only be entered while out of combat.",
Espionage,Tactical Escape,TacticalEscape,Combat,Needed,,CastOutAnimation,,,"Reduces your enmity by 60%, removes negative movement-speed effects, and increases Evasion by 12% for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Espionage/TacticalEscapeAbilityDefinition.cs
First Aid,Adrenal Stim,AdrenalStim,Combat,Needed,,FireForgetSalute,https://chatgpt.com/s/m_6a401866bc6881918bc72a506660384b,115,Restores 25% of maximum STM and restores 1 STM every 3 seconds for 30 seconds. Consumes a stim pack.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/AdrenalStimAbilityDefinition.cs
First Aid,Antitoxin,Antitoxin,Combat,Needed,,FireForgetSalute,https://chatgpt.com/s/m_6a4018798aa08191b374588b7168c0e5,118,Grants 50% Poison Resistance for 2 minutes and removes one Poison or Toxin effect. Poison Resistance also weakens Disease and Toxin effects. Consumes a stim pack.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/AntitoxinAbilityDefinition.cs
First Aid,Emergency Cocktail,EmergencyCocktail,Combat,Needed,,FireForgetSalute,https://chatgpt.com/s/m_6a4019777fb481918d23999e264a87a2,120,"Restores 25% of maximum STM, removes one Poison or Toxin effect, then for 45 seconds restores 1 STM every 3 seconds, grants temporary HP equal to 12% of maximum HP plus WIL scaling, reduces damage taken by 12%, and grants 50% Poison Resistance.",SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/EmergencyCocktailAbilityDefinition.cs
First Aid,Emergency Triage,EmergencyTriage,Combat,Needed,,FireForgetSalute,https://chatgpt.com/s/m_6a40186099688191ae8ad66a6cb03015,114,Restores 18% of the target's maximum HP plus WIL scaling instantly. Can target allies up to 15m away. Healing is doubled if the target is below 35% HP. Consumes extra medical supplies.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/EmergencyTriageAbilityDefinition.cs
First Aid,Focus Stim,FocusStim,Combat,Needed,,FireForgetSalute,https://chatgpt.com/s/m_6a4019135b0081919a93ee984f30d508,119,Increases physical and Force ability Accuracy by 8% for 2 minutes. Consumes a stim pack.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/FocusStimAbilityDefinition.cs
First Aid,Infusion,Infusion,Combat,Needed,,LoopingGetMid,https://chatgpt.com/s/m_6a40185950b481919ddbdabbcd190525,113,"Grants a single target regeneration, healing 5% of maximum HP plus WIL scaling every 3 seconds for 30 seconds. Consumes medical supplies.",SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/InfusionAbilityDefinition.cs
First Aid,Kolto Mist,KoltoMist,Combat,Needed,,ThrowGrenade,https://chatgpt.com/s/m_6a40184cfbfc8191b803f7cff849403c,111,Deploys a 30-second healing mist cloud at a target location up to 15m away. Allies within 8m heal for 2% of maximum HP plus WIL scaling every 3 seconds. Consumes medical supplies.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/KoltoMistAbilityDefinition.cs
First Aid,Med Kit,MedKit,Combat,Needed,,LoopingGetMid,https://chatgpt.com/s/m_6a40183d93a48191a3929bcfd7344425,109,Restores 36% of the target's maximum HP plus WIL scaling to a single target. Consumes medical supplies.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/MedKitAbilityDefinition.cs
First Aid,Pain Suppressant,PainSuppressant,Combat,Needed,,FireForgetSalute,https://chatgpt.com/s/m_6a40187244bc819198879a733c235565,117,Grants temporary HP equal to 15% of the target's maximum HP plus WIL scaling and 15% damage reduction for 30 seconds. Consumes a stim pack.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/PainSuppressantAbilityDefinition.cs
First Aid,Resuscitation,Resuscitation,Combat,Needed,,LoopingGetMid,https://chatgpt.com/s/m_6a401852c2508191a4d7763de334d77d,112,Revives an unconscious target with 20% HP plus WIL scaling. Consumes medical supplies.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/ResuscitationAbilityDefinition.cs
First Aid,Shielding,Shielding,Combat,Needed,,FireForgetSalute,https://chatgpt.com/s/m_6a40186c9484819189f52f8d77a689ce,116,Reduces physical and force damage taken by 11% for 3 minutes. Consumes a stim pack.,SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/ShieldingAbilityDefinition.cs
First Aid,Treatment Kit,TreatmentKit,Combat,Needed,,LoopingGetMid,https://chatgpt.com/s/m_6a4018460ec08191b59719a93f7c4dea,110,"Removes Bleed, Poison, Toxin, Burn, Shock, and Disease from a single target and grants 50% Fire Resistance, 50% Poison Resistance, 50% Electrical Resistance, 50% Ice Resistance, and 50% Trauma Resistance for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/FirstAid/TreatmentKitAbilityDefinition.cs
Force,Benevolence,Benevolence,Combat,Needed,,LoopingConjure1,https://chatgpt.com/s/m_6a40098b10d4819189fab42aad45880a,79,Restores 20% of the target's maximum HP plus WIL scaling to a single target. Healing gains +25% when targeting someone other than yourself.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/BenevolenceAbilityDefinition.cs
Force,Creeping Terror,CreepingTerror,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a40095b45008191bc0fbd4ed33c7005,72,Creates a visible 8m field within 15m for 30 seconds. Enemies inside are Hobbled and take 18 force DMG plus WIL scaling every 3 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/CreepingTerrorAbilityDefinition.cs
Force,Eclipse of Resolve,EclipseOfResolve,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400af972b8819188653ba7aa1d6ebe,90,"Enemies within 5m suffer -12% physical and Force ability Accuracy, -12% Evasion, and +20% FP and STM costs for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/EclipseOfResolveAbilityDefinition.cs
Force,Force Burst,ForceBurst,Combat,Needed,,CastOutAnimation,,,Deals 44 force DMG plus WIL scaling to the selected target and enemies within 5m.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceBurstAbilityDefinition.cs
Force,Force Choke,ForceChoke,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400968f6f081918c07dd5e20ea7419,74,"Immobilizes one target for 30 seconds, interrupts activation, and deals 34 force DMG plus WIL scaling over the duration.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceChokeAbilityDefinition.cs
Force,Force Drain,ForceDrain,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a4009776b308191b12aaa5344de7739,76,"Deals 36 force DMG plus WIL scaling to one target and heals you for 40% of damage dealt. If the target is below 50% HP, healing increases to 50%.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceDrainAbilityDefinition.cs
Force,Force Intercept,ForceIntercept,Combat,Needed,,ForceLeap,https://chatgpt.com/s/m_6a400a8471988191b2d8af89668469cd,89,Leap to an ally up to 15m away and absorb 50% of the next hit they take within 30 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceInterceptAbilityDefinition.cs
Force,Force Judgment,ForceJudgment,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400a693b108191a1b9976451674119,85,"Deals 48 force DMG plus WIL scaling to the selected target and enemies within 5m, reducing outgoing weapon and force damage by 8% for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceJudgmentAbilityDefinition.cs
Force,Force Leap,ForceLeap,Combat,Needed,,No declared animation,,,"Leap to a hostile target up to 18m away, dealing 18 force DMG plus WIL scaling and interrupting activation.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceLeapAbilityDefinition.cs
Force,Force Lightning,ForceLightning,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400970d3688191845ccb493ec939ba,75,"Deals 40 force DMG plus WIL scaling to one target, then arcs to up to three enemies within 5m for 50% damage. Affected targets suffer Shock for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceLightningAbilityDefinition.cs
Force,Force Push,ForcePush,Combat,Needed,,LoopingConjure1,https://chatgpt.com/s/m_6a400962514c819182f205b88f37322b,73,"Deals 18 force DMG to up to 3 targets in a 10m x 5m cone, knocks them down for 6 seconds, and slows their movement for 12 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForcePushAbilityDefinition.cs
Force,Force Sanctuary,ForceSanctuary,Combat,Needed,,LoopingConjure1,https://chatgpt.com/s/m_6a400a574ab48191b2b07106e8276349,82,Creates a 4m sanctuary for 30 seconds. Allies inside gain regeneration equal to 2% of maximum HP plus WIL scaling every 3 seconds and take 5% less force damage.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceSanctuaryAbilityDefinition.cs
Force,Force Spark,ForceSpark,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a40094c0e908191b8a8f1febc24c55c,70,Deals 30 force DMG plus WIL scaling to one target and reduces Evasion by 6% for 30 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/ForceSparkAbilityDefinition.cs
Force,Fury Stance,FuryStance,Stance,Needed,Shared activation candidate,CastOutAnimation,,,"While active, gain +12% weapon and force damage and +15% critical damage, but take 5% more damage and suffer -5% Defense and Force Defense. Only one stance may be active.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/FuryStanceAbilityDefinition.cs
Force,Guardian Ward,GuardianWard,Combat,Needed,,LoopingConjure1,https://chatgpt.com/s/m_6a400a49ceb08191aee9fed87c0b0c30,80,Grants a single ally temporary HP equal to 15% of the target's maximum HP plus WIL scaling for 30 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/GuardianWardAbilityDefinition.cs
Force,Hunger of the Dark,HungerOfTheDark,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400a5d5ad4819198dfc336049032db,83,"For 45 seconds, Dark damage you deal heals you for 12% of damage dealt and defeated enemies restore 3 FP.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/HungerOfTheDarkAbilityDefinition.cs
Force,Last Stand of the Light,LastStandOfTheLight,Combat,Needed,,LoopingConjure1,https://chatgpt.com/s/m_6a400984230c81919d6e8c836dc07f32,78,"For 45 seconds, damage that would drop the target below 1 HP is prevented once and the target gains temporary HP equal to 15% of maximum HP plus WIL scaling.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/LastStandOfTheLightAbilityDefinition.cs
Force,Mind Trick,MindTrick,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400a7614fc8191a6f932c5661cc4c0,87,"Attempts to inflict Confusion on the selected non-mechanical target and one non-mechanical target within 5m for 30 seconds. Caster Willpower increases duration, while target Willpower and Mind Resistance reduce it.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/MindTrickAbilityDefinition.cs
Force,Nightmare Field,NightmareField,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400a7d61388191926547ac4ceab3ad,88,Enemies within 5m suffer -10% physical and Force ability Accuracy and -10% Evasion for 30 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/NightmareFieldAbilityDefinition.cs
Force,Purifying Wave,PurifyingWave,Combat,Needed,,LoopingConjure1,https://chatgpt.com/s/m_6a40097daae881919bdf9917c345ae1e,77,"Releases a 5m wave of focused light, dealing 22 force DMG plus WIL scaling to enemies and removing one minor negative effect (Bleed, Poison, or Hobble) from allies within 5m.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/PurifyingWaveAbilityDefinition.cs
Force,Radiant Lance,RadiantLance,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400a6ed4e48191a8e11a2bfe1b2464,86,"Fires a focused lance of radiant Force energy in an 8m x 2.5m line, dealing 44 force DMG plus WIL scaling to hostile targets in the line.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/RadiantLanceAbilityDefinition.cs
Force,Renewal,Renewal,Combat,Needed,,LoopingConjure1,https://chatgpt.com/s/m_6a400a514d7c819181e47316026a28d0,81,"Applies regeneration to a single ally, restoring 6% of maximum HP plus WIL scaling every 3 seconds for 30 seconds.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/RenewalAbilityDefinition.cs
Force,Throw Lightsaber,ThrowLightsaber,Combat,Needed,,SaberThrow,,,"Hurls your equipped weapon with the Force through a 15m x 2.5m line, dealing weapon DMG + 30 physical DMG plus WIL/PER scaling to the selected target and up to two additional enemies in the line.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/ThrowLightsaberAbilityDefinition.cs
Force,Throw Rock,ThrowRock,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400953c9188191a5966bb5d3cbae36,71,"Hurls a crushing mass of stone and debris with the Force up to 30m, dealing 60 physical DMG plus WIL/PER scaling to one target.",SWLOR.Game.Server/Feature/AbilityDefinition/Force/ThrowRockAbilityDefinition.cs
Force,Weaken Resolve,WeakenResolve,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a400a639be881918c9e1a55d8896cbb,84,Increases force damage taken by 10% for 24 seconds.,SWLOR.Game.Server/Feature/AbilityDefinition/Force/WeakenResolveAbilityDefinition.cs
General,Provoke,Provoke,Combat,Needed,,FireForgetTaunt,,,Goads the selected target and all other enemies within 8m of it into attacking you. Enmity generated increases by 1% per VIT.,SWLOR.Game.Server/Feature/AbilityDefinition/Armor/ProvokeAbilityDefinition.cs
Heavy Vibroblade,Absolute Defense,AbsoluteDefense,Capstone,Needed,,ShieldWall,https://chatgpt.com/s/m_6a3fe7c6a37081919d42f7a0d219ff19,19,"For 45 seconds, party members within 5m including you take 15% less physical and Force damage and are immune to Knockdown and Dazed.",SWLOR.Game.Server/Feature/AbilityDefinition/HeavyVibroblade/AbsoluteDefenseAbilityDefinition.cs
Heavy Vibroblade,Bastion Stance,BastionStance,Stance,Needed,Shared activation candidate,ShieldWall,,,"While active, grants +20% to Enmity generation, +15% Defense, +15% Force Defense, -20% Attack, and -20% Force Attack.",SWLOR.Game.Server/Feature/AbilityDefinition/HeavyVibroblade/BastionStanceAbilityDefinition.cs
Heavy Vibroblade,Blazing Spikes,BlazingSpikes,Toggle,Needed,Shared activation candidate,CastOutAnimation,,,"While active, this effect delivers 10% of physical damage received back to the attacker. Damage dealt increases by 1% per MGT. (Maximum 40%)",SWLOR.Game.Server/Feature/AbilityDefinition/HeavyVibroblade/BlazingSpikesAbilityDefinition.cs
Heavy Vibroblade,Earthshatter,Earthshatter,Combat,Needed,,DoubleThrust,https://chatgpt.com/s/m_6a3fe7bd01f0819198b545b822a5f39c,18,You deal weapon DMG + 35 to all enemies in an 8m x 2.5m line from you. Inflicts Force Disruption on each target which disables the use of force abilities for 30 seconds and generates +350 Enmity.,SWLOR.Game.Server/Feature/AbilityDefinition/HeavyVibroblade/EarthshatterAbilityDefinition.cs
Heavy Vibroblade,Flash,Flash,Combat,Needed,,CastOutAnimation,https://chatgpt.com/s/m_6a3fe7aa0b688191bc1ffbae3f88fc70,16,"Enemies within a 5m sphere around you receive Flash, reducing Ability Accuracy by 20% for 30 seconds (physical and Force abilities). Deals no damage. You generate +650 bonus Enmity toward these enemies.",SWLOR.Game.Server/Feature/AbilityDefinition/HeavyVibroblade/FlashAbilityDefinition.cs
