Group,NWScriptConstant,CSharpEnum,Value,VisualTags,Location,Colors,SelectionHint,SourcePage,ImageUrl
BEAM,VFX_BEAM_DISINTEGRATE,Vfx_Beam_Disintegrate,447,Beam; disintegrate,,,Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/5/59/Beam_disintegrate.jpg
BEAM,VFX_BEAM_FIRE_W,Vfx_Beam_Fire_W,482,"Beam; fire wide; location body; colors fire, yellow",Body,"Fire, yellow",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/b/be/Beam.firew.jpg
BEAM,VFX_BEAM_FIRE_W_SILENT,Vfx_Beam_Fire_W_Silent,483,"Beam; fire wide silent; location body; colors fire, yellow",Body,"Fire, yellow",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/f/f0/Beam.silentfire.jpg
BEAM,VFX_BEAM_CHAIN,Vfx_Beam_Chain,484,Beam; chain; location body; colors chain,Body,Chain,Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/6/63/Beam.chain.jpg
BEAM,VFX_BEAM_BLACK,Vfx_Beam_Black,485,"Beam; black; location body; colors black, negative",Body,"Black, negative",Line from source to target; use with EffectBeam for sustained target links.,https://www.nwnlexicon.com/Vfx_beam,https://www.nwnlexicon.com/images/7/74/Beam.black.jpg
COM,VFX_COM_SPECIAL_BLUE_RED,Vfx_Com_Special_Blue_Red,100,Combat impact; special blue red,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_SPECIAL_PINK_ORANGE,Vfx_Com_Special_Pink_Orange,101,Combat impact; special pink orange,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_SPECIAL_RED_WHITE,Vfx_Com_Special_Red_White,102,Combat impact; special red white,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_SPECIAL_RED_ORANGE,Vfx_Com_Special_Red_Orange,103,Combat impact; special red orange,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_SPECIAL_WHITE_BLUE,Vfx_Com_Special_White_Blue,104,Combat impact; special white blue,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_SPECIAL_WHITE_ORANGE,Vfx_Com_Special_White_Orange,105,Combat impact; special white orange,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_REG_WIMP,Vfx_Com_Blood_Reg_Wimp,106,Combat impact; blood regular wimp; location neck,Neck,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_LRG_WIMP,Vfx_Com_Blood_Lrg_Wimp,107,Combat impact; blood large wimp; location neck,Neck,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_CRT_WIMP,Vfx_Com_Blood_Crt_Wimp,108,Combat impact; blood critical wimp; location neck,Neck,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_REG_RED,Vfx_Com_Blood_Reg_Red,109,Combat impact; blood regular red; location neck; colors red,Neck,Red,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_REG_GREEN,Vfx_Com_Blood_Reg_Green,110,Combat impact; blood regular green; location neck; colors green,Neck,Green,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_REG_YELLOW,Vfx_Com_Blood_Reg_Yellow,111,Combat impact; blood regular yellow; location neck; colors yellow,Neck,Yellow,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_LRG_RED,Vfx_Com_Blood_Lrg_Red,112,Combat impact; blood large red; location neck; colors red,Neck,Red,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_LRG_GREEN,Vfx_Com_Blood_Lrg_Green,113,Combat impact; blood large green; location neck; colors green,Neck,Green,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_LRG_YELLOW,Vfx_Com_Blood_Lrg_Yellow,114,Combat impact; blood large yellow; location neck; colors yellow,Neck,Yellow,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_CRT_RED,Vfx_Com_Blood_Crt_Red,115,Combat impact; blood critical red; location neck; colors red,Neck,Red,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_CRT_GREEN,Vfx_Com_Blood_Crt_Green,116,Combat impact; blood critical green; location neck; colors green,Neck,Green,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_CRT_YELLOW,Vfx_Com_Blood_Crt_Yellow,117,Combat impact; blood critical yellow; location neck; colors yellow,Neck,Yellow,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_SPARKS_PARRY,Vfx_Com_Sparks_Parry,118,Combat impact; sparks parry; location feet; colors white,Feet,White,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_UNLOAD_MODEL,Vfx_Com_Unload_Model,120,Combat impact; unload model,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_RED_SMALL,Vfx_Com_Chunk_Red_Small,121,"Combat impact; chunk red small; location about body; colors red, bones",About Body,"Red, bones","Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_RED_MEDIUM,Vfx_Com_Chunk_Red_Medium,122,"Combat impact; chunk red medium; location about body; colors red, bones",About Body,"Red, bones","Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_GREEN_SMALL,Vfx_Com_Chunk_Green_Small,123,Combat impact; chunk green small; location about body; colors green,About Body,Green,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_GREEN_MEDIUM,Vfx_Com_Chunk_Green_Medium,124,Combat impact; chunk green medium; location about body; colors green,About Body,Green,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_YELLOW_SMALL,Vfx_Com_Chunk_Yellow_Small,125,Combat impact; chunk yellow small; location about body; colors yellow,About Body,Yellow,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_YELLOW_MEDIUM,Vfx_Com_Chunk_Yellow_Medium,126,Combat impact; chunk yellow medium; location about body; colors yellow,About Body,Yellow,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_RED_LARGE,Vfx_Com_Chunk_Red_Large,235,"Combat impact; chunk red large; location about body; colors red, bones",About Body,"Red, bones","Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_BONE_MEDIUM,Vfx_Com_Chunk_Bone_Medium,236,Combat impact; chunk bone medium; location about head; colors gray,About Head,Gray,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_SPARK_SMALL,Vfx_Com_Blood_Spark_Small,237,Combat impact; blood spark small; location chest; colors white,Chest,White,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_SPARK_MEDIUM,Vfx_Com_Blood_Spark_Medium,238,Combat impact; blood spark medium; location chest; colors white,Chest,White,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_BLOOD_SPARK_LARGE,Vfx_Com_Blood_Spark_Large,239,Combat impact; blood spark large; location chest; colors white,Chest,White,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_HIT_FIRE,Vfx_Com_Hit_Fire,280,Combat impact; hit fire; location about body; colors fire,About Body,Fire,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_HIT_FROST,Vfx_Com_Hit_Frost,281,Combat impact; hit frost; location about body; colors white,About Body,White,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_HIT_ELECTRICAL,Vfx_Com_Hit_Electrical,282,Combat impact; hit electrical; location about body; colors electric,About Body,Electric,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_HIT_ACID,Vfx_Com_Hit_Acid,283,Combat impact; hit acid; location about body; colors green,About Body,Green,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_HIT_SONIC,Vfx_Com_Hit_Sonic,284,Combat impact; hit sonic; location about body; colors white,About Body,White,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_HIT_NEGATIVE,Vfx_Com_Hit_Negative,288,Combat impact; hit negative; location about body; colors red,About Body,Red,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_HIT_DIVINE,Vfx_Com_Hit_Divine,289,Combat impact; hit divine; location about body; colors yellow,About Body,Yellow,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_STONE_SMALL,Vfx_Com_Chunk_Stone_Small,353,Combat impact; chunk stone small,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_STONE_MEDIUM,Vfx_Com_Chunk_Stone_Medium,354,Combat impact; chunk stone medium,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
COM,VFX_COM_CHUNK_RED_BALLISTA,Vfx_Com_Chunk_Red_Ballista,504,Combat impact; chunk red ballista,,,"Combat contact graphic; use for weapon, creature, or hit impact feedback.",https://www.nwnlexicon.com/Vfx_com,
DUR,VFX_DUR_BLUR,Dur_Blur,0,"Duration or marker; blur; location about body; colors blue, white",About body,"Blue, white","Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/9/90/Dur.blur.jpg
DUR,VFX_DUR_DARKNESS,Dur_Darkness,1,Duration or marker; darkness; location area; colors dark,Area,Dark,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/d/d0/Dur.darkness.jpg
DUR,VFX_DUR_ENTANGLE,Dur_Entangle,2,Duration or marker; entangle; location floor; colors green,Floor,Green,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/5/5c/Dur.entangle.jpg
DUR,VFX_DUR_FREEDOM_OF_MOVEMENT,Dur_Freedom_Of_Movement,3,Duration or marker; freedom of movement; location floor; colors green,Floor,Green,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/2/2d/Dur.freedommove.jpg
DUR,VFX_DUR_GLOBE_INVULNERABILITY,Dur_Globe_Invulnerability,4,Duration or marker; globe invulnerability,,,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/1/15/Dur.globeinvuln.jpg
DUR,VFX_DUR_BLACKOUT,Dur_Blackout,5,Duration or marker; blackout; location area; colors black,Area,Black,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/a/a0/Dur.blackout.jpg
DUR,VFX_DUR_INVISIBILITY,Dur_Invisibility,6,Duration or marker; invisibility; location about body,About Body,,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/9/94/Dur.invisibility.jpg
DUR,VFX_DUR_MIND_AFFECTING_NEGATIVE,Dur_Mind_Affecting_Negative,7,"Duration or marker; mind affecting negative; location about head; colors blue, white",About Head,"Blue, white","Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/6/67/Dur.mindnegative.jpg
DUR,VFX_DUR_MIND_AFFECTING_POSITIVE,Dur_Mind_Affecting_Positive,8,Duration or marker; mind affecting positive; location about head; colors white,About Head,White,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/4/4e/Dur.mindpositive.jpg
DUR,VFX_DUR_GHOSTLY_VISAGE,Dur_Ghostly_Visage,9,Duration or marker; ghostly visage,,,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/b/b2/Dur.ghostlyvisage.jpg
DUR,VFX_DUR_ETHEREAL_VISAGE,Dur_Ethereal_Visage,10,Duration or marker; ethereal visage; location above head; colors purple,Above Head,Purple,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/f/f7/Dur.etherealvisage.jpg
DUR,VFX_DUR_PROT_BARKSKIN,Dur_Prot_Barkskin,11,"Duration or marker; protection barkskin; location about body; colors wood, brown",About Body,"Wood, brown","Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/3/31/Dur.protbarkskin.jpg
DUR,VFX_DUR_PROT_GREATER_STONESKIN,Dur_Prot_Greater_Stoneskin,12,Duration or marker; protection greater stoneskin; location about body; colors stone,About Body,Stone,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/c/cc/Dur.protstoneskin.jpg
DUR,VFX_DUR_PROT_PREMONITION,Dur_Prot_Premonition,13,Duration or marker; protection premonition; location about body; colors blue,About Body,Blue,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/7/78/Dur.protpremonition.jpg
DUR,VFX_DUR_PROT_SHADOW_ARMOR,Dur_Prot_Shadow_Armor,14,"Duration or marker; protection shadow armor; location about body; colors black, white",About Body,"Black, white","Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/e/e9/Dur.protshadowarmor.jpg
DUR,VFX_DUR_PROT_STONESKIN,Dur_Prot_Stoneskin,15,Duration or marker; protection stoneskin; location about body; colors stone,About Body,Stone,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/c/cc/Dur.protstoneskin.jpg
DUR,VFX_DUR_SANCTUARY,Dur_Sanctuary,16,"Duration or marker; sanctuary; location about body; colors white, purple",About Body,"White, purple","Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/8/85/Dur.sanctuary.jpg
DUR,VFX_DUR_WEB,Dur_Web,17,Duration or marker; web; location feet; colors white,Feet,White,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/8/87/Dur.web.jpg
DUR,VFX_DUR_PARALYZE_HOLD,Vfx_Dur_Paralyze_Hold,82,Duration or marker; paralyze hold; location about body; colors white,About Body,White,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/4/49/Dur.paralyzehold.jpg
DUR,VFX_DUR_SPELLTURNING,Vfx_Dur_Spellturning,138,Duration or marker; spellturning; location floor; colors blue,Floor,Blue,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/9/96/Dur.spellturning.jpg
DUR,VFX_DUR_ELEMENTAL_SHIELD,Vfx_Dur_Elemental_Shield,147,"Duration or marker; elemental shield; location floor; colors blue, fire",Floor,"Blue, fire","Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/7/7f/Dur.elementalshield.jpg
DUR,VFX_DUR_LIGHT,Vfx_Dur_Light,148,Duration or marker; light,,,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,
DUR,VFX_DUR_LIGHT_BLUE_5,Vfx_Dur_Light_Blue_5,153,Duration or marker; light blue 5; location floor; colors blue,Floor,Blue,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/3/35/Dur.lightblue5.jpg
DUR,VFX_DUR_LIGHT_BLUE_10,Vfx_Dur_Light_Blue_10,154,Duration or marker; light blue 10; location floor; colors blue,Floor,Blue,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/9/96/Dur.lightblue10.jpg
DUR,VFX_DUR_LIGHT_BLUE_15,Vfx_Dur_Light_Blue_15,155,Duration or marker; light blue 15; location floor; colors blue,Floor,Blue,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/d/d4/Dur.lightblue15.jpg
DUR,VFX_DUR_LIGHT_BLUE_20,Vfx_Dur_Light_Blue_20,156,Duration or marker; light blue 20; location floor; colors blue,Floor,Blue,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/a/af/Dur.lightblue20.jpg
DUR,VFX_DUR_LIGHT_YELLOW_5,Vfx_Dur_Light_Yellow_5,157,Duration or marker; light yellow 5; location floor; colors yellow,Floor,Yellow,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/8/8d/Dur.lightyellow5.jpg
DUR,VFX_DUR_LIGHT_YELLOW_10,Vfx_Dur_Light_Yellow_10,158,Duration or marker; light yellow 10; location floor; colors yellow,Floor,Yellow,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/1/1c/Dur.lightyellow10.jpg
DUR,VFX_DUR_LIGHT_YELLOW_15,Vfx_Dur_Light_Yellow_15,159,Duration or marker; light yellow 15; location floor; colors yellow,Floor,Yellow,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/f/f5/Dur.lightyellow15.jpg
DUR,VFX_DUR_LIGHT_YELLOW_20,Vfx_Dur_Light_Yellow_20,160,Duration or marker; light yellow 20; location floor; colors yellow,Floor,Yellow,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/c/c4/Dur.lightyellow20.jpg
DUR,VFX_DUR_LIGHT_PURPLE_5,Vfx_Dur_Light_Purple_5,161,Duration or marker; light purple 5; location floor; colors purple,Floor,Purple,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/9/9d/Dur.lightpurple5.jpg
DUR,VFX_DUR_LIGHT_PURPLE_10,Vfx_Dur_Light_Purple_10,162,Duration or marker; light purple 10; location floor; colors purple,Floor,Purple,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/d/dc/Dur.lightpurple10.jpg
DUR,VFX_DUR_LIGHT_PURPLE_15,Vfx_Dur_Light_Purple_15,163,Duration or marker; light purple 15; location floor; colors purple,Floor,Purple,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/e/e7/Dur.lightpurple15.jpg
DUR,VFX_DUR_LIGHT_PURPLE_20,Vfx_Dur_Light_Purple_20,164,Duration or marker; light purple 20; location floor; colors purple,Floor,Purple,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/f/fb/Dur.lightpurple20.jpg
DUR,VFX_DUR_LIGHT_RED_5,Vfx_Dur_Light_Red_5,165,Duration or marker; light red 5; location floor; colors red,Floor,Red,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/a/a3/Dur.lightred5.jpg
DUR,VFX_DUR_LIGHT_RED_10,Vfx_Dur_Light_Red_10,166,Duration or marker; light red 10; location floor; colors red,Floor,Red,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/a/a4/Dur.lightred10.jpg
DUR,VFX_DUR_LIGHT_RED_15,Vfx_Dur_Light_Red_15,167,Duration or marker; light red 15; location floor; colors red,Floor,Red,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/a/a0/Dur.lightred15.jpg
DUR,VFX_DUR_LIGHT_RED_20,Vfx_Dur_Light_Red_20,168,Duration or marker; light red 20; location floor; colors red,Floor,Red,"Duration or marker graphic; use for persistent auras, ground markers, or status visuals.",https://www.nwnlexicon.com/Vfx_dur,https://www.nwnlexicon.com/images/4/4b/Dur.lightred20.jpg
